,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PAPSS2,2.47683249888724e-53,0.463454797196288,0.251,0.094,4.3602159310411e-49
DYNLL1,3.54547367814555e-53,-0.340867752437258,0.999,0.998,6.24145186300743e-49
ND3,4.5381877917137e-53,0.612980929906016,0.999,1,7.9890257885328e-49
EIF1B,1.91075675631662e-52,-0.358225043683185,0.848,0.904,3.36369619381977e-48
MAN2B1,2.94160250955096e-52,-0.315691867436175,0.943,0.971,5.17839705781352e-48
LSM7,3.56086992518669e-52,-0.354176833259253,0.867,0.911,6.26855541629864e-48
EHD1,3.77851154535132e-52,-0.328837005042892,0.113,0.335,6.65169172443646e-48
SOD2,4.7002251988219e-52,-0.856254045716119,0.955,0.966,8.27427644000607e-48
PSMB8,1.92814908272446e-51,-0.363707282336232,0.881,0.918,3.39431364522814e-47
MFSD10,2.23930600365234e-51,-0.389865642508618,0.349,0.565,3.94207428882958e-47
YBX3,3.31409355875999e-51,0.414641627679298,0.885,0.662,5.83413030084108e-47
EIF4G2,4.64482099681561e-51,-0.331545132382755,0.991,0.991,8.17674288279421e-47
ADORA2B,5.48649847905895e-51,-0.374030657685355,0.118,0.33,9.65843192253538e-47
BLOC1S1,1.04951161010524e-50,-0.251062270403536,0.998,1,1.84756023842927e-46
ABRACL,1.58204818059477e-50,-0.301768530819195,0.99,0.994,2.78503761711903e-46
TMEM121,1.91509000823584e-50,-0.467097742635223,0.362,0.555,3.37132445049838e-46
